n,C,mean_error,std_error,R,fname
50,0.01,0.31356,0.026636936760821437,50,c06_svm_n50_C0.01.png
50,0.1,0.31135999999999997,0.024112038487029672,50,c06_svm_n50_C0.1.png
50,1,0.30182,0.017118048954247095,50,c06_svm_n50_C1.png
50,10,0.33858000000000005,0.024585434712447122,50,c06_svm_n50_C10.png
50,100,0.36779999999999996,0.02647413832403238,50,c06_svm_n50_C100.png
50,1000,0.38334,0.027964699175925353,50,c06_svm_n50_C1000.png
100,0.01,0.2986,0.017025862680052368,50,c06_svm_n100_C0.01.png
100,0.1,0.29366,0.015073964309364675,50,c06_svm_n100_C0.1.png
100,1,0.28976,0.014352086956258309,50,c06_svm_n100_C1.png
100,10,0.31616000000000005,0.020377791833267905,50,c06_svm_n100_C10.png
100,100,0.34647999999999995,0.020408076832470028,50,c06_svm_n100_C100.png
100,1000,0.36614,0.021440158581503083,50,c06_svm_n100_C1000.png
250,0.01,0.29034,0.00899246351118535,50,c06_svm_n250_C0.01.png
250,0.1,0.28224,0.006182426708016828,50,c06_svm_n250_C0.1.png
250,1,0.28424,0.008458274055621497,50,c06_svm_n250_C1.png
250,10,0.29222000000000004,0.011662401124982793,50,c06_svm_n250_C10.png
250,100,0.30395999999999995,0.015753044150258712,50,c06_svm_n250_C100.png
250,1000,0.32049999999999995,0.015586211855354725,50,c06_svm_n250_C1000.png
500,0.01,0.28614,0.006486940727338261,50,c06_svm_n500_C0.01.png
500,0.1,0.28228000000000003,0.005291653805758632,50,c06_svm_n500_C0.1.png
500,1,0.28204,0.006321265696045355,50,c06_svm_n500_C1.png
500,10,0.28326,0.007984510003750998,50,c06_svm_n500_C10.png
500,100,0.28844000000000003,0.010604074688533643,50,c06_svm_n500_C100.png
500,1000,0.29978,0.012022129595042643,50,c06_svm_n500_C1000.png
