n,C,errors,error_rate,fname
50,0.01,277,0.277,c06_svm_n50_C0.01.png
50,0.1,277,0.277,c06_svm_n50_C0.1.png
50,1,284,0.284,c06_svm_n50_C1.png
50,10,308,0.308,c06_svm_n50_C10.png
50,100,370,0.37,c06_svm_n50_C100.png
50,1000,372,0.372,c06_svm_n50_C1000.png
100,0.01,285,0.285,c06_svm_n100_C0.01.png
100,0.1,280,0.28,c06_svm_n100_C0.1.png
100,1,288,0.288,c06_svm_n100_C1.png
100,10,296,0.296,c06_svm_n100_C10.png
100,100,319,0.319,c06_svm_n100_C100.png
100,1000,344,0.344,c06_svm_n100_C1000.png
250,0.01,273,0.273,c06_svm_n250_C0.01.png
250,0.1,270,0.27,c06_svm_n250_C0.1.png
250,1,276,0.276,c06_svm_n250_C1.png
250,10,299,0.299,c06_svm_n250_C10.png
250,100,314,0.314,c06_svm_n250_C100.png
250,1000,324,0.324,c06_svm_n250_C1000.png
500,0.01,289,0.289,c06_svm_n500_C0.01.png
500,0.1,282,0.282,c06_svm_n500_C0.1.png
500,1,284,0.284,c06_svm_n500_C1.png
500,10,281,0.281,c06_svm_n500_C10.png
500,100,288,0.288,c06_svm_n500_C100.png
500,1000,302,0.302,c06_svm_n500_C1000.png
